street,crashes
Sääse tn,3
Juurdeveo tn,3
Kalevipoja tn,3
Mähe tee,3
Vilisuu tn,3
M. Härma tn,3
Vesilennuki tn,3
Hooldekodu tee,3
Kalasadama tn,3
Pargi tn,3
Katusepapi tn,3
Räägu tn,3
Alevi tn,3
Kase tn,3
Lahepea tn,3
P. Kerese tn,3
Silikaltsiidi tn,3
Laulupeo tn,3
Nooda tee,3
Suvila tn,3
Põdra tn,3
Seebi tn,3
Kassi tn,3
Sügise tn,3
Kuldnoka tn,3
Harku tn,3
Meeliku tn,3
Kotkapoja tn,3
Herne tn,3
Roseni tn,3
Vaablase tn,3
Maisi tn,3
Töökoja tn,3
Vana-Tartu mnt,3
Välja tn,3
Petrooleumi tn,3
Lille tn,3
P. Süda tn,3
Helme tn,3
Staapli tn,3
Õnne tn,3
Päevalille tn,3
Kungla tn,3
Jussikalda tn,3
Väo tee,3
Uus-Tatari tn,3
Kraavi tn,3
Logi tn,3
Hõbekuuse tee,3
Peetri tn,3
Reisijate tn,3
Mäekalda tn,3
Ketta tn,2
Kauka tn,2
C. R. Jakobsoni tn,2
Nafta tn,2
Rataskaevu tn,2
Ränduri tn,2
Suve tn,2
Roheline tn,2
Falgi tee,2
Kasvu tn,2
Aia tn,2
Betooni tn,2
Võsa tee,2
Pihlaka tn,2
Õitse tn,2
Vindi tn,2
Sinimäe tn,2
Sipelga tn,2
Lõuka tn,2
Paadi tn,2
Männiliiva tn,2
Rohula tn,2
Kajaka tn,2
J. V. Jannseni tn,2
Lehiku tee,2
Keskküla tn,2
Taara tn,2
Raekoja plats,2
TALLINN - NARVA,2
Mõisapõllu tn,2
Mardi tn,2
Tammede pst,2
Teaduspargi tn,2
Raja tn,2
Suusa tn,2
Kuke tn,2
Toominga tn,2
Uuslinna tn,2
Jääraku tee,2
Karu tn,2
Tirdi tn,2
Kopliranna tn,2
Vesse tn,2
TALLINN - TARTU - VÕRU - LUHAMAA,2
Sompa tee,2
Rahukohtu tn,2
Sinika tn,2
Liivamäe tn,2
Võistluse tn,2
Lesta tn,2
Tuisu tn,2
Majaka põik,2
Võlvi tn,2
Humala tn,2
Nõmme-Kase tn,2
Lahe tn,2
Aia tee,2
Rahu tee,2
Tolmuka tee,2
Marta tn,2
Keevise tn,2
Suur-Paala tn,2
Irusilla tn,2
Poordi tn,2
Valgevase tn,2
Mähe-Kaasiku tee,2
Mäe tn,2
Kaeravälja tn,2
Kesk-Sõjamäe tn,2
Marsi tn,2
Saturni tn,2
Nurmiku tee,2
Vambola tn,2
A. Adamsoni tn,2
Jõekalda tn,2
Tina tn,2
Noole tn,2
Vana-Viru tn,2
Forelli tn,2
Trummi tn,2
Vana-Veerenni tn,2
Aiandi tn,2
Sirbi tn,2
Kaupmehe tn,2
Tuuleveski tn,2
Saagi tn,2
Ida tee,2
Särje tn,2
Varre tn,2
Villardi tn,2
Lossi tn,2
Masti tn,2
Leiva tn,2
Rahvakooli tee,2
Piibelehe tn,2
Sossimäe tn,2
Energia tn,2
Tulekivi tn,2
Kärje tn,1
Väina tee,1
Pirni tn,1
Järvekalda tee,1
Mai tn,1
Aedvilja tn,1
Veerenni põik,1
Kurni tn,1
Hagudi tn,1
Väike-Paala tn,1
Võra tee,1
Lõkke tn,1
Lauri tee,1
Rännaku pst,1
Paplite pst,1
Lauliku tn,1
Amburi tn,1
Väike-Karja tn,1
Loo tn,1
Harju tn,1
Sikupilli tn,1
R. Tobiase tn,1
Hane tn,1
Algi põik,1
Paneeli tn,1
Kanali tee,1
Angerja tn,1
Mäekõrtsi tn,1
Paekalda tn,1
Mehaanika tn,1
Siduri tn,1
Vahtramäe tee,1
Risti tn,1
Ööbiku tn,1
Kiive tn,1
Torni tn,1
Olevimägi,1
Lina tn,1
E. Bornhöhe tee,1
Ravila tn,1
Sõbra tn,1
Tuulenurga tn,1
Padriku tee,1
Vinkli tn,1
Roopa tn,1
Aasa tn,1
Nurme tn,1
Krookuse tn,1
Vanemuise tn,1
Niguliste tn,1
Komeedi tn,1
Kiini tn,1
Laiaküla tee,1
Luige tn,1
Ranniku põik,1
Rapla tn,1
Betooni põik,1
Puhkekodu tee,1
Hommiku tn,1
Õllepruuli tn,1
Karsti tn,1
Künka tn,1
Piima tn,1
Võidu tn,1
Saarepiiga pst,1
Lõime tn,1
Kibuvitsa tn,1
Sepise tn,1
Ülemiste tee,1
Laine tn,1
TALLINN - PÄRNU - IKLA,1
Männimetsa põik,1
Raudsüdame tn,1
Kalmistu tee,1
Helbe tn,1
Ruunaoja tn,1
Kahu tn,1
Räime tn,1
Liimi tn,1
Kelluka tee,1
Kirsi tn,1
Kauge tn,1
